crop,season,soil_type,n_kg_per_acre,p_kg_per_acre,k_kg_per_acre,s_kg_per_acre,zn_kg_per_acre,notes,source
rice_boro,all,alluvial,120,28,24,12,0,BARC 2018 standard recommendation,BARC Fertilizer Recommendation Guide 2018
rice_boro,all,calcareous:90,90,18,18,10,0,Reduced P/K for calcareous soils,BARC 2018
rice_boro,all,acidic:140,40,30,15,2,Increased for acidic soils,BARC 2018
rice_aus,all,alluvial:90,20,18,8,0,BARC 2018 standard recommendation,BARC Fertilizer Recommendation Guide 2018
rice_aus,all,calcareous:70,14,14,6,0,Reduced for calcareous soils,BARC 2018
rice_aus,all,acidic:110,28,22,10,2,Increased for acidic soils,BARC 2018
rice_amon,all,alluvial:100,24,20,10,0,BARC 2018 standard recommendation,BARC Fertilizer Recommendation Guide 2018
rice_amon,all,calcareous:80,16,16,8,0,Reduced for calcareous soils,BARC 2018
rice_amon,all,acidic:120,32,24,12,2,Increased for acidic soils,BARC 2018
wheat,rabi,alluvial:100,26,20,10,0,BARC 2018 standard recommendation,BARC Fertilizer Recommendation Guide 2018
wheat,rabi,calcareous:80,16,16,8,0,Reduced for calcareous soils,BARC 2018
wheat,rabi,acidic:120,32,24,12,2,Increased for acidic soils,BARC 2018
maize,kharif:all,alluvial:140,32,28,12,0,BARC 2018 standard recommendation,BARC Fertilizer Recommendation Guide 2018
maize,kharif,calcareous:110,20,20,8,0,Reduced for calcareous soils,BARC 2018
maize,kharif,acidic:170,40,32,15,2,Increased for acidic soils,BARC 2018
potato,rabi,alluvial:120,80,120,15,0,High P/K demand for tuber crop,BARC 2018
potato,rabi,calcareous:90,60,100,12,0,Reduced for calcareous soils,BARC 2018
potato,rabi,acidic:150,100,140,18,2,Increased for acidic soils,BARC 2018
onion,rabi,alluvial:100,50,40,15,0,BARC 2018 standard recommendation,BARC Fertilizer Recommendation Guide 2018
onion,rabi,calcareous:80,40,32,12,0,Reduced for calcareous soils,BARC 2018
onion,rabi,acidic:120,60,48,18,2,Increased for acidic soils,BARC 2018
tomato,rabi,alluvial:100,40,50,15,0,BARC 2018 standard recommendation,BARC Fertilizer Recommendation Guide 2018
tomato,rabi,calcareous:80,32,40,12,0,Reduced for calcareous soils,BARC 2018
tomato,rabi,acidic:120,48,60,18,2,Increased for acidic soils,BARC 2018
chili,rabi,alluvial:80,40,40,12,0,BARC 2018 standard recommendation,BARC Fertilizer Recommendation Guide 2018
chili,rabi,calcareous:60,32,32,10,0,Reduced for calcareous soils,BARC 2018
chili,rabi,acidic:100,48,48,15,2,Increased for acidic soils,BARC 2018
garlic,rabi,alluvial:100,50,40,15,0,BARC 2018 standard recommendation,BARC Fertilizer Recommendation Guide 2018
garlic,rabi,calcareous:80,40,32,12,0,Reduced for calcareous soils,BARC 2018
garlic,rabi,acidic:120,60,48,18,2,Increased for acidic soils,BARC 2018
ginger,kharif,alluvial:120,40,40,20,0,BARC 2018 standard recommendation,BARC Fertilizer Recommendation Guide 2018
ginger,kharif,calcareous:90,32,32,15,0,Reduced for calcareous soils,BARC 2018
ginger,kharif,acidic:150,48,48,25,2,Increased for acidic soils,BARC 2018
jute,kharif,alluvial:50,20,20,10,0,BARC 2018 standard recommendation,BARC Fertilizer Recommendation Guide 2018
jute,kharif,calcareous:40,16,16,8,0,Reduced for calcareous soils,BARC 2018
jute,kharif,acidic:60,24,24,12,2,Increased for acidic soils,BARC 2018
mustard,rabi,alluvial:60,24,18,10,0,BARC 2018 standard recommendation,BARC Fertilizer Recommendation Guide 2018
mustard,rabi,calcareous:48,16,14,8,0,Reduced for calcareous soils,BARC 2018
mustard,rabi,acidic:72,32,22,12,2,Increased for acidic soils,BARC 2018
lentil,rabi,alluvial:20,24,12,8,0,Low N (legume fixes nitrogen),BARC 2018
lentil,rabi,calcareous:16,16,10,6,0,Reduced for calcareous soils,BARC 2018
lentil,rabi,acidic:24,32,14,10,2,Increased for acidic soils,BARC 2018
sugarcane,kharif,alluvial:180,40,60,20,0,High N demand for cane crop,BARC 2018
sugarcane,kharif,calcareous:140,32,48,15,0,Reduced for calcareous soils,BARC 2018
sugarcane,kharif,acidic:220,48,72,25,2,Increased for acidic soils,BARC 2018
soybean,kharif,alluvial:30,28,20,10,0,Low N (legume fixes nitrogen),BARC 2018
soybean,kharif,calcareous:24,20,16,8,0,Reduced for calcareous soils,BARC 2018
soybean,kharif,acidic:36,36,24,12,2,Increased for acidic soils,BARC 2018
